Domain,Site name,SITE,CFGLOC,Rad,2D,Combined,dx_clockwise,dy_clockwise,dx_counterClockwise,dy_counterClockwise,boomOrientation,towerFaceLength,boomLength,Distorted Flow Min Threshold,Distorted Flow Max Threshold,Direction Range Threshold Min,Direction Range Threshold Max,Speed Range Threshold Min,Speed Range Threshold Max,Step,Gap (>= ? Consecutive NAs),Despiking Method,Despiking maximum missing points (%),Despiking window size (n),Despiking step (n),Despiking MAD,Despiking maximum consecutive points (n),Persistence (change),Persistence (time - seconds)
13,Niwot Ridge/ Mountain Research Station,NIWO,NIWO,BA,AB,No,0,-2.35,0,2.96,225,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
9,Northern Great Plains Research Laboratory,NOGP,NOGP,AB,AB,Yes,0,-2.35,-2.35,0,220,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
11,Klemme Range Research Station,OAES,OAES,BA,AD,No,-2.35,-2.96,0,2.35,90,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
15,Onaqui-Ault,ONAQ,ONAQ,AB,AB,Yes,0,-2.35,-2.35,0,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
7,Oak Ridge,ORNL,ORNL,BA,BA,Yes,-2.35,0,0,2.35,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
3,Ordway-Swisher Biological Station,OSBS,OSBS,BA,BA,Yes,-2.35,0,0,2.35,135,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
12,"Paradise Valley, MT  (Loch Leven)",PARA,PARA,BA,AB,No,0,-2.35,0,2.96,270,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
19,Poker Flat ,POKE,POKE,BA,BA,Yes,-2.35,0,0,2.35,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
15,Red Butte Canyon,RBUT,RBUT,AB,AD,No,-2.35,0,0,2.35,360,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
10,"RMNP, CASTNET",RMNP,RMNP,BA,BA,Yes,-2.35,-2.96,0,2.35,213,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
1,"Plum Island Suburban - Burlington, MA",SAWB,SAWB,BA,BA,Yes,-2.35,0,0,2.35,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
2,SCBI,SCBI,SCBI,BA,AB,No,0,-2.35,0,2.96,300,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
2,Smithsonian Environmental Research Center (SERC),SERC,SERC,AB,AB,Yes,0,-2.35,-2.35,0,230,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
17,San Joaquin,SJER,SJER,BA,AD,No,-2.35,-2.96,0,2.35,90,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
17,Soaproot Saddle,SOAP,SOAP,AB,AD,No,-2.35,0,0,2.35,360,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
14,Santa Rita Experimental Range,SRER,SRER,BA,BA,Yes,-2.35,0,0,2.35,200,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
5,Steigerwald Land Service,STEI,STEI,BA,BA,Yes,-2.35,0,0,2.35,135,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
10,"North Sterling, CO",STER,STER,BA,AB,No,0,-2.35,0,2.96,270,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
8,Talladega National Forest,TALL,TALL,BA,AB,No,0,-2.35,0,2.96,270,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
17,Lower Teakettle,TEAK,TEAK,BA,BA,Yes,-2.35,0,0,2.35,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
16,Thayer,THAY,THAY,BA,BA,Yes,-2.35,0,0,2.35,180,2.35,2.96,10,10,0,360,0,65,not applicable,4,A,10,1800,1,7,4,0.001,3600
18,Toolik Lake,TOOL,TOOL,BA,AB,No,0,-2.35,0,2.96,270,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
5,Tree Haven  (tower height listed at 35m),TREE,TREE,BA,BA,Yes,-2.35,0,0,2.35,135,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
6,University of Kansas Field Station,UKFS,UKFS,AB,AB,Yes,0,-2.35,-2.35,0,230,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
5,UNDERC,UNDE,UNDE,AB,AB,Yes,0,-2.35,-2.35,0,200,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
9,Woodworth,WOOD,WOOD,BA,AB,No,0,-2.35,0,2.96,245,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
16,Wind River Experimental Forest,WREF,WREF,BA,AB,No,0,-2.35,0,2.96,270,2.35,2.96,10,10,0,360,0,65,,,,,,,,,,
